run_key,study,task,model,runtime_model_name,seed,data_seed_train,data_seed_validation,data_seed_test,train_length,eval_length,active_branches_train,active_branches_eval,train_samples,validation_samples,test_samples,valid_tokens_eval_mean,best_epoch,best_validation_loss,best_validation_accuracy,training_seconds,training_examples_per_second_last_epoch,training_tokens_per_second_last_epoch,parameter_count,checkpoint,eval_loss,eval_accuracy,eval_examples,runtime_inference_seconds_per_batch,runtime_inference_examples_per_second,runtime_inference_tokens_per_second,runtime_inference_batch_size,struct_bond_dimension,struct_effective_rank,struct_tree_depth,struct_active_branches,struct_cut_capacity_bits_proxy,struct_stream_state_scalars_proxy,struct_parameter_count,eval_levels_used,eval_effective_rank,eval_orthogonality,eval_branch_levels_used,eval_branch_effective_rank,eval_global_levels_used,eval_global_effective_rank,struct_router_search_scalars_proxy,eval_branch_orthogonality,eval_global_orthogonality,eval_router_router_entropy,eval_router_router_balance,eval_router_router_active_branches,eval_router_router_lag_entropy,eval_route_accuracy_aligned,eval_route_purity,eval_route_used_branches,struct_attention_score_scalars_proxy,eval_branch_rank_regularizer,eval_global_rank_regularizer
detail_disentangler__routed_ttn_oracle__seed20281019,detail_disentangler,predictive_detail,routed_ttn_oracle,routed_ttn_oracle,20281019,20280823,20280835,22281012,32,64,8,8,2048,512,512,62.0,10,0.000642576458631,1.0,13.250879543999986,2823.304687869707,90345.75001183062,16707,checkpoints/detail_disentangler__routed_ttn_oracle__seed20281019.pt,2.559471249580384,0.56640625,512.0,0.009626593333337,6648.250090545221,425488.0057948941,64.0,16.0,16.0,6.0,8.0,32.0,768.0,16707.0,,,,6.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
detail_disentangler__routed_ttn_oracle__seed20281019,detail_disentangler,predictive_detail,routed_ttn_oracle,routed_ttn_oracle,20281019,20280823,20280835,23281012,32,128,8,8,2048,512,512,128.0,10,0.000642576458631,1.0,13.250879543999986,2823.304687869707,90345.75001183062,16707,checkpoints/detail_disentangler__routed_ttn_oracle__seed20281019.pt,3.38855528831482,0.505859375,512.0,0.0177080873333276,3614.1678542294194,462613.4853413657,64.0,16.0,16.0,7.0,8.0,32.0,896.0,16707.0,,,,7.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
detail_low_rank__routed_ttn_oracle__seed20290819,detail_low_rank,predictive_detail,routed_ttn_oracle,routed_ttn_oracle,20290819,20290823,20290835,21290812,32,32,8,8,2048,512,512,32.0,6,0.6920810341835022,0.54296875,7.651948709000067,3675.641975953242,117620.54323050374,1203,checkpoints/detail_low_rank__routed_ttn_oracle__seed20290819.pt,0.69462451338768,0.53125,512.0,0.0063616069999928,10060.351103120947,321931.2352998703,64.0,4.0,4.0,5.0,8.0,16.0,160.0,1203.0,,,,5.0,4.0,3.0,4.0,0.0,,,,,,,,,,,,
detail_low_rank__routed_ttn_oracle__seed20290819,detail_low_rank,predictive_detail,routed_ttn_oracle,routed_ttn_oracle,20290819,20290823,20290835,22290812,32,64,8,8,2048,512,512,62.0,6,0.6920810341835022,0.54296875,7.651948709000067,3675.641975953242,117620.54323050374,1203,checkpoints/detail_low_rank__routed_ttn_oracle__seed20290819.pt,0.7051951289176941,0.48046875,512.0,0.0079367603332987,8063.743556862509,516079.58763920056,64.0,4.0,4.0,6.0,8.0,16.0,192.0,1203.0,,,,6.0,4.0,3.0,4.0,0.0,,,,,,,,,,,,
combined_stress__routed_ttn_oracle__seed20310919,combined_stress,combined_language,routed_ttn_oracle,routed_ttn_oracle,20310919,20310823,20310835,21310912,64,64,8,8,1024,256,512,49.0,1,0.6834148466587067,0.578125,2.6338475930000413,2051.502694670767,131296.1724589291,16739,checkpoints/combined_stress__routed_ttn_oracle__seed20310919.pt,0.6923061907291412,0.529296875,512.0,0.0099921843333277,6405.005939145437,409920.380105308,64.0,16.0,16.0,6.0,8.0,32.0,768.0,16739.0,,,,6.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
combined_stress__routed_ttn_oracle__seed20310919,combined_stress,combined_language,routed_ttn_oracle,routed_ttn_oracle,20310919,20310823,20310835,22310912,64,128,8,8,1024,256,512,49.0,1,0.6834148466587067,0.578125,2.6338475930000413,2051.502694670767,131296.1724589291,16739,checkpoints/combined_stress__routed_ttn_oracle__seed20310919.pt,0.6875374913215637,0.5546875,512.0,0.0128309406666555,4987.942946873759,638456.6971998411,64.0,16.0,16.0,7.0,8.0,32.0,896.0,16739.0,,,,7.0,16.0,3.0,16.0,0.0,,,,,,,,,,,,
interleaved_tournament__routed_mera_oracle__seed20261319,interleaved_tournament,interleaved_threads,routed_mera_oracle,routed_mera_oracle,20261319,20260823,20260835,21261312,32,32,8,8,2048,512,512,32.0,11,0.0440898786764591,0.9921875,17.18978347799998,2010.6017459280583,64339.25586969787,26981,checkpoints/interleaved_tournament__routed_mera_oracle__seed20261319.pt,0.0266299769282341,0.994140625,512.0,0.0095799036666903,6680.651729571147,213780.85534627672,64.0,16.0,16.0,5.0,8.0,32.0,640.0,26981.0,,,,5.0,16.0,3.0,16.0,0.0,0.0073405979201197,0.004975167568773,,,,,,,,,,
interleaved_tournament__routed_mera_oracle__seed20261319,interleaved_tournament,interleaved_threads,routed_mera_oracle,routed_mera_oracle,20261319,20260823,20260835,22261312,32,64,8,8,2048,512,512,64.0,11,0.0440898786764591,0.9921875,17.18978347799998,2010.6017459280583,64339.25586969787,26981,checkpoints/interleaved_tournament__routed_mera_oracle__seed20261319.pt,2.9818577766418457,0.51953125,512.0,0.0156716163333309,4083.816157742613,261364.23409552724,64.0,16.0,16.0,6.0,8.0,32.0,768.0,26981.0,,,,6.0,16.0,3.0,16.0,0.0,0.0061171650886535,0.004975167568773,,,,,,,,,,
interleaved_tournament__routed_mera_oracle__seed20261319,interleaved_tournament,interleaved_threads,routed_mera_oracle,routed_mera_oracle,20261319,20260823,20260835,23261312,32,128,8,8,2048,512,512,128.0,11,0.0440898786764591,0.9921875,17.18978347799998,2010.6017459280583,64339.25586969787,26981,checkpoints/interleaved_tournament__routed_mera_oracle__seed20261319.pt,4.655875205993652,0.3671875,512.0,0.0257773166666765,2482.8030328981235,317798.7882109598,64.0,16.0,16.0,7.0,8.0,32.0,896.0,26981.0,,,,7.0,16.0,3.0,16.0,0.0,0.0052432841621339,0.004975167568773,,,,,,,,,,
detail_disentangler__routed_mera_oracle__seed20281119,detail_disentangler,predictive_detail,routed_mera_oracle,routed_mera_oracle,20281119,20280823,20280835,21281112,32,32,8,8,2048,512,512,32.0,9,0.0362427833606489,0.9921875,15.55467007599998,1911.3369679273471,61162.78297367511,26947,checkpoints/detail_disentangler__routed_mera_oracle__seed20281119.pt,0.0247620648005977,0.99609375,512.0,0.0090527913333365,7069.642681845821,226228.56581906628,64.0,16.0,16.0,5.0,8.0,32.0,640.0,26947.0,,,,5.0,16.0,3.0,16.0,0.0,0.0141680762171745,0.0096737891435623,,,,,,,,,,
